
Listdlls v3.2 - Listdlls
Copyright (C) 1997-2016 Mark Russinovich
Sysinternals

------------------------------------------------------------------------------
MicrosoftEdge.exe pid: 4264
Command line: "C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdge.exe" -ServerName:MicrosoftEdge.AppXdnhjhccw3zf0j06tkg3jtqr00qdm0khc.mca

Base                Size      Path
0x0000000021740000  0x1a000   C:\Windows\System32\Windows.Shell.ServiceHostBuilder.dll
0x000000001cac0000  0x18000   C:\Windows\System32\UiaManager.dll
0x000000001bae0000  0x47000   C:\Windows\system32\dataexchange.dll
0x000000002af00000  0x2df000  C:\Windows\SYSTEM32\d3d11.dll
0x000000002bac0000  0x122000  C:\Windows\SYSTEM32\dcomp.dll
0x000000002c900000  0xa4000   C:\Windows\SYSTEM32\dxgi.dll
0x000000001c210000  0x82000   C:\Windows\system32\twinapi.dll
0x00000000174a0000  0x7a000   C:\Windows\SYSTEM32\windows.ui.core.textinput.dll
0x0000000017440000  0x5a000   C:\Windows\System32\Windows.Graphics.dll
0x0000000014590000  0x28000   C:\Windows\SYSTEM32\srpapi.dll
0x000000002e5e0000  0x1c9000  C:\Windows\System32\CRYPT32.dll
0x000000002db70000  0x11000   C:\Windows\System32\MSASN1.dll
0x000000001d240000  0x5d000   C:\Windows\SYSTEM32\ninput.dll
0x000000002b490000  0x5a4000  C:\Windows\SYSTEM32\d2d1.dll
0x0000000026350000  0x2c0000  C:\Windows\SYSTEM32\DWrite.dll
0x0000000029c40000  0x2d5000  C:\Windows\SYSTEM32\d3d10warp.dll
0x000000001bb90000  0x6b000   C:\Windows\System32\oleacc.dll
0x0000000014580000  0x10000   C:\Windows\system32\msimtf.dll
0x0000000025b00000  0x88000   C:\Windows\system32\directmanipulation.dll
0x0000000028b30000  0x69000   C:\Windows\SYSTEM32\Bcp47Langs.dll
0x00000000200c0000  0x14000   C:\Windows\System32\Windows.System.Profile.PlatformDiagnosticsAndUsageDataSettings.dll
0x000000002cff0000  0xa000    C:\Windows\SYSTEM32\DPAPI.DLL
0x0000000025570000  0x6b000   C:\Windows\System32\fwpuclnt.dll
0x0000000024fa0000  0xa000    C:\Windows\System32\rasadhlp.dll
0x000000002cef0000  0x7c000   C:\Windows\system32\schannel.DLL
0x000000001df00000  0x14000   C:\Windows\SYSTEM32\mskeyprotect.dll
0x000000002d610000  0x25000   C:\Windows\SYSTEM32\ncrypt.dll
0x000000002d5d0000  0x36000   C:\Windows\SYSTEM32\NTASN1.dll
0x000000001df50000  0x21000   C:\Windows\system32\ncryptsslp.dll
0x000000002eb70000  0x56000   C:\Windows\System32\WINTRUST.dll
0x000000002cfb0000  0x34000   C:\Windows\system32\rsaenh.dll
0x000000001ded0000  0x2f000   C:\Windows\System32\cryptnet.dll
0x0000000014210000  0x38000   C:\Windows\System32\smartscreenps.dll
0x00000000284d0000  0x16000   C:\Windows\SYSTEM32\dhcpcsvc6.DLL
0x00000000284b0000  0x1a000   C:\Windows\SYSTEM32\dhcpcsvc.DLL
0x000000001dfa0000  0x91000   C:\Windows\SYSTEM32\webio.dll
0x00000000261c0000  0x188000  C:\Windows\SYSTEM32\windows.globalization.dll
0x000000002a700000  0x1ac000  C:\Windows\system32\windowscodecs.dll
0x0000000029bb0000  0x35000   C:\Windows\SYSTEM32\XmlLite.dll
0x000000002a0b0000  0x46000   C:\Windows\System32\UIAnimation.dll
0x0000000021270000  0x3c000   C:\Windows\SYSTEM32\wuceffects.dll
0x000000002ed00000  0x71000   C:\Windows\System32\coml2.dll
0x0000000013700000  0x1ab000  C:\Windows\SYSTEM32\dui70.dll
0x0000000021be0000  0x93000   C:\Windows\SYSTEM32\DUser.dll
0x00000000247b0000  0xa6000   C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.15063.0_none_43a14f3b47f396e6\Comctl32.dll
